ID,FORM,LEMMA,UPOS,XPOS,FEATS,Pronunciation
1,يقين,يقين,NOUN,NN,XPOS =,yaqeen
2,ڪرڻ,ڪر,VERB,VB,XPOS =,karan
3,سان,سان,ADP,IN,XPOS =,Saan
4,اڪثر,اڪثر,ADV,RB,XPOS =,Aksar
5,ڌوڪو,ڌوڪو,NOUN,NN,XPOS =,dhoko
6,ئي,ئي,ADV,RB,XPOS =,Ee
7,ملي,مل,VERB,VB,XPOS =,Milay
8,ٿو,ٿو,VERB,VB,XPOS =,tho
9,.,.,PERIOD,-,XPOS =,Pooro Dam
1,وقت,وقت,NOUN,NN,XPOS =,Waqt
2,سدائين,سدا,ADV,RB,XPOS =,Sadaeen
3,هڪجھڙو,هڪ,ADJ,JJ,XPOS =,Hikjehrro
4,ناهي,ناه,ADV,RB,XPOS =,Naahay
5,رهندو,ره,VERB,VBN,XPOS =,Rahando
6,.,.,PERIOD,-,XPOS =,Pooro Dam
1,وڏن,وڏو,ADJ,JJ,XPOS =,waddan
2,جو,جو,ADP,IN,XPOS =,Jo
3,ادب,ادب,NOUN,NN,XPOS =,Adab
4,ڪرڻ,ڪر,VERB,VB,XPOS =,karan
5,هڪ,هڪ,NUM,CD,XPOS =,Hik
6,سٺو,سٺو,ADJ,JJ,XPOS =,Sutho
7,عمل,عمل,NOUN,NN,XPOS =,Amal
8,آهي,آهي,AUX,VB,XPOS =,Aahay
9,۽,۽,CONJ,CC,XPOS =,Aen
10,اسان,آءُ,PRON,PRP,XPOS =,Asaan
11,تي,تي,ADP,PRP,XPOS =,Te
12,فرض,فرض,NOUN,NN,XPOS =,Faraz
13,به,به,ADP,IN,XPOS =,Bi
14,آهي,آهي,AUX,VB,XPOS =,Aahay
15,.,.,PERIOD,-,XPOS =,Pooro Dam
1,وڌ,وڌ,ADJ,JJ,XPOS =,wadh
2,۾,۾,ADP,IN,XPOS =,Me
3,وڌ,وڌ,ADJ,JJ,XPOS =,wadh
4,تعليم,تعليم,NOUN,NN,XPOS =,Taaleem
5,حاصل,حاصل,NOUN,NN,XPOS =,Haasil
6,ڪري,ڪر,VERB,VB,XPOS =,karay
7,معاشري,معاشري,NOUN,NN,XPOS =,Muaashiray
8,کي,کي,ADP,IN,XPOS =,khe
9,خوبصورت,خوبصورت,ADJ,JJ,XPOS =,Khoobsoorat
10,بڻايو,بڻاءِ,VERB,VBD,XPOS =,Bannaayo
11,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هي,هي,DET,DT,XPOS =,He
2,وقت,وقت,NOUN,NN,XPOS =,Waqt
3,آرام,آرام,NOUN,NN,XPOS =,Aaraam
4,ڪرڻ,ڪر,VERB,VB,XPOS =,karan
5,جو,جو,ADP,IN,XPOS =,Jo
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هي,هي,DET,DT,XPOS =,He
2,منهنجو,منهن,PRON,PRP,XPOS =,Muhnjo
3,۽,۽,CONJ,CC,XPOS =,Aen
4,هُو,هُو,DET,DT,XPOS =,Hoo
5,تنهنجو,تنهنجو,PRON,PRP,XPOS =,Tuhenjo
6,ڪتاب,ڪتاب,NOUN,NN,XPOS =,kitaab
7,آهي,آهي,AUX,VB,XPOS =,Aahay
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هي,هي,DET,DT,XPOS =,He
2,قلم,قلم,NOUN,NN,XPOS =,Qalam
3,تنهنجو,تنهنجو,PRON,PRP,XPOS =,Tuhenjo
4,آهي,آهي,AUX,VB,XPOS =,Aahay
5,۽,۽,CONJ,CC,XPOS =,Aen
6,هُو,هُو,DET,DT,XPOS =,Hoo
7,ڪتاب,ڪتاب,NOUN,NN,XPOS =,kitaab
8,منهنجو,منهن,PRON,PRP,XPOS =,Muhnjo
9,آهي,آهي,AUX,VB,XPOS =,Aahay
10,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هي,هي,DET,DT,XPOS =,He
